"nom_loc","cve_col","nom_col","viviendas_totales","poblacion_total","pctj_mujeres","pctj_hombres","pctj_menores18","pctj_adultos18_59","pctj_60ymas","escolaridad_años_prom","nivel_escolaridad_prom"
"Aconchi","260010001641","NORTE",182,428,"48.7%","51.3%","40.2%","47.7%","12.1%",8.3,"Primaria"
"Aconchi","260010001644","CENTRO",565,1210,"47.7%","52.3%","31.6%","52.1%","16.4%",9,"Secundaria"
"Agua Prieta","2600200011186","MANUEL J CLOURTIER",97,266,"54.1%","45.9%","33.1%","62.8%","4.1%",8.9,"Primaria"
"Agua Prieta","2600200011890","COL ACAPULCO",164,378,"53.4%","46.6%","23.8%","63.8%","12.4%",10.8,"Secundaria"
"Agua Prieta","2600200011893","INFONAVIT",48,118,"55.1%","44.9%","18.6%","57.6%","23.7%",10.4,"Secundaria"
"Agua Prieta","2600200011894","INFONAVIT 1",1389,2689,"52.5%","47.5%","24.1%","56.8%","19.1%",10.6,"Secundaria"
"Agua Prieta","2600200011944","CORONADO",208,498,"51.2%","48.8%","37.3%","60%","2.6%",11.7,"Secundaria"
"Agua Prieta","2600200012054","LINDA VISTA",143,491,"53.6%","46.4%","48.7%","49.3%","2%",9.6,"Secundaria"
"Agua Prieta","2600200012074","SANTA FE",917,2535,"49.5%","50.5%","39.1%","59.6%","1.4%",9.5,"Secundaria"
"Agua Prieta","2600200012119","VILLA DE ANDALUCIA",33,75,"50.7%","49.3%","32%","64%","4%",10.8,"Secundaria"
"Agua Prieta","2600200012138","SOLIDARIDAD",42,120,"53.5%","46.5%","36.7%","54.2%","9.2%",8.6,"Primaria"
"Agua Prieta","2600200012139","LADRILLERA ll",1595,5248,"49.5%","50.5%","41.3%","54.3%","4.4%",8.3,"Primaria"
"Agua Prieta","2600200012140","TRES CAMINOS",159,477,"53.6%","46.4%","33.8%","61.4%","4.8%",8.3,"Primaria"
"Agua Prieta","2600200012142","JARDINES DEL BACHICUY",249,768,"50.4%","49.6%","41%","57.7%","1.3%",9.4,"Secundaria"
"Agua Prieta","2600200012263","FERROCARRIL",1236,2874,"49.2%","50.8%","28.8%","57%","14.2%",8.9,"Primaria"
"Agua Prieta","2600200012281","LA PALOMA",72,109,"51.4%","48.6%","33.9%","58.7%","7.3%",7.6,"Primaria"
"Agua Prieta","2600200012282","DEL PARQUE",505,1441,"49.1%","50.9%","39.4%","58.8%","1.7%",9.3,"Secundaria"
"Agua Prieta","2600200012285","NUEVO PROGRESO",1390,4184,"51%","49%","36.3%","59.3%","4.3%",9.3,"Secundaria"
"Agua Prieta","2600200012289","LA MESA",148,487,"51.1%","48.9%","38%","58.7%","3.3%",10.4,"Secundaria"
"Agua Prieta","2600200012312","LAS HACIENDAS",140,400,"52.8%","47.2%","39.8%","59.2%","1%",12.3,"Secundaria"
"Agua Prieta","2600200012313","VIA LA ISABELES",9,36,"61.5%","38.5%","75%","16.7%","8.3%",9.9,"Secundaria"
"Agua Prieta","260020001251","PUEBLO NUEVO",3895,11664,"49.6%","50.4%","37.7%","58.4%","3.9%",9.5,"Secundaria"
"Agua Prieta","260020001252","SECTOR INDUSTRIAL",154,246,"49.3%","50.7%","28%","55.7%","16.3%",10,"Secundaria"
"Agua Prieta","260020001254","JESUS GARCIA",196,549,"48.2%","51.8%","33%","52.8%","14.2%",8.6,"Primaria"
"Agua Prieta","260020001353","SIN NOMBRE 353",248,788,"47.3%","52.7%","39.3%","56.7%","3.9%",9.5,"Secundaria"
"Agua Prieta","260020001355","VALLES DUARTE",1463,4376,"49.4%","50.6%","39%","58.3%","2.7%",9.8,"Secundaria"
"Agua Prieta","260020001356","CIPRESES",204,633,"52.6%","47.4%","35.2%","63.2%","1.6%",10.4,"Secundaria"
"Agua Prieta","260020001543","CUEVA DE LOS LEONES",47,144,"57.6%","42.4%","35.4%","62.5%","2.1%",10,"Secundaria"
"Agua Prieta","260020001544","VALLE BONITO",322,997,"49.7%","50.3%","34.3%","60.2%","5.5%",10.6,"Secundaria"
"Agua Prieta","260020001545","LOMAS SOL",45,81,"48.6%","51.4%","30.9%","65.4%","3.7%",11.5,"Secundaria"
"Agua Prieta","260020001546","INFONAVIT ALAMITO",1253,3701,"51.3%","48.7%","33.7%","58.6%","7.7%",9.8,"Secundaria"
"Agua Prieta","260020001547","IBARROLA",382,1148,"51.4%","48.6%","34.8%","61.4%","3.7%",10.2,"Secundaria"
"Agua Prieta","260020001548","DEPORTIVA",1130,2592,"51.3%","48.7%","29.9%","56.7%","13.4%",11.2,"Secundaria"
"Agua Prieta","260020001549","LUIS DONALDO COLOSIO",1776,4981,"51.1%","48.9%","33%","58.8%","8.2%",10,"Secundaria"
"Agua Prieta","260020001551","BACHICUY",54,92,"47.2%","52.8%","76.1%","18.5%","5.4%",6.9,"Primaria"
"Agua Prieta","260020001553","LOPEZ NOGALES",389,1163,"50.5%","49.5%","33.7%","60.8%","5.5%",9.8,"Secundaria"
"Agua Prieta","260020001554","BUENOS AIRES",1290,3784,"49.4%","50.6%","44.5%","52.6%","2.9%",9.4,"Secundaria"
"Agua Prieta","260020001555","VILDOSOLA",437,1239,"48.9%","51.1%","33.4%","60.6%","6%",9.7,"Secundaria"
"Agua Prieta","260020001556","BELTRONES",116,302,"46.8%","53.2%","31.8%","62.3%","6%",9.2,"Secundaria"
"Agua Prieta","260020001557","MAGISTERIAL",1554,4089,"50.9%","49.1%","31.8%","60.8%","7.5%",10.3,"Secundaria"
"Agua Prieta","260020001559","LADRILLERA",324,857,"48.8%","51.2%","36.2%","56.7%","7.1%",8.3,"Primaria"
"Agua Prieta","260020001560","EJIDAL",1319,3573,"47.8%","52.2%","31%","56.4%","12.6%",8.5,"Primaria"
"Agua Prieta","260020001561","NUEVA",521,1432,"52%","48%","32.2%","56.6%","11.2%",9.2,"Secundaria"
"Agua Prieta","260020001562","INDUSTRIAL",112,338,"50.8%","49.2%","31.4%","55.9%","12.7%",10.6,"Secundaria"
"Agua Prieta","260020001563","INFONAVIT INDUSTRIAL",440,1240,"53.3%","46.7%","25.6%","55.7%","18.6%",11.1,"Secundaria"
"Agua Prieta","260020001564","ESPERANZA",207,467,"53.4%","46.6%","26.1%","52.5%","21.4%",10.6,"Secundaria"
"Agua Prieta","260020001565","ACAPULCO",258,700,"52%","48%","29.6%","56%","14.4%",10.7,"Secundaria"
"Agua Prieta","260020001566","CENTRO",1322,2962,"49.7%","50.3%","28.3%","55.7%","16%",10,"Secundaria"
"Agua Prieta","260020001567","MILITAR",113,224,"50.4%","49.6%","26.3%","62.1%","11.6%",11.9,"Secundaria"
"Agua Prieta","260020001568","OBRERA",237,574,"51.6%","48.4%","28.4%","56.1%","15.5%",12.3,"Secundaria"
"Agua Prieta","260020001570","SIN NOMBRE 570",75,202,"48.2%","51.8%","29.2%","63.9%","6.9%",9.5,"Secundaria"
"Agua Prieta","260020001571","SALSIPUEDES",389,1061,"50.5%","49.5%","30.6%","58.5%","10.8%",9.3,"Secundaria"
"Agua Prieta","260020001572","VALLARTA",356,916,"52%","48%","29.5%","59%","11.6%",10.2,"Secundaria"
"Agua Prieta","260020001573","EJIDAL 1",1095,2942,"51.8%","48.2%","31.6%","56.8%","11.5%",9.8,"Secundaria"
"Agua Prieta","2600200016322","BICENTENARIO",340,951,"47.9%","52.1%","51.9%","45.2%","2.8%",9.6,"Secundaria"
"Agua Prieta","2600200016326","PUESTA DEL SOL",323,909,"51.9%","48.1%","41.4%","57.9%","0.8%",9.2,"Secundaria"
"Agua Prieta","2600200016360","VILLAS DE TOSCANA",468,1450,"52%","48%","42.3%","55.9%","1.7%",9.4,"Secundaria"
"Agua Prieta","2600200016361","RESIDENCIAL SACRAMENTO",349,991,"49.6%","50.4%","41.5%","57.7%","0.8%",9.3,"Secundaria"
"Agua Prieta","2600200016427","BUENA VISTA",218,549,"48.8%","51.2%","43.2%","55.6%","1.3%",9.5,"Secundaria"
"Agua Prieta","2600200016457","FRACCIONAMIENTO LOS VALLES",459,1417,"50%","50%","39.9%","59.9%","0.2%",9.6,"Secundaria"
"Agua Prieta","2600200016494","PARQUE INDUSTRIAL",16,64,"53.1%","46.9%","35.9%","56.2%","7.8%",7.5,"Primaria"
"Agua Prieta","2600200016545","LAS PRADERAS",175,499,"48.9%","51.1%","39.7%","60.3%","0%",9.6,"Secundaria"
"Agua Prieta","2600200016576","PRIVADA DEL ALAMO",97,236,"52.1%","47.9%","40.7%","59.3%","0%",9.9,"Secundaria"
"Agua Prieta","2600200016577","CAMPANARIO",156,400,"49.8%","50.2%","41%","59%","0%",9.5,"Secundaria"
"Agua Prieta","2600200016736","BICENTERIO PLAN DE AGUA PRIETA",4,7,NA,NA,NA,NA,NA,NA,NA
"Álamos","2600300011082","NUEVA CREACION",163,488,"48.4%","51.6%","43%","54.5%","2.5%",9.5,"Secundaria"
"Álamos","2600300011098","REAL DE MINAS",40,125,"43.8%","56.2%","41.6%","58.4%","0%",10.1,"Secundaria"
"Álamos","2600300011099","NUEVO AMANECER",182,704,"52%","48%","40.5%","55.4%","4.1%",9.4,"Secundaria"
"Álamos","2600300012046","ALAMO DORADO",28,38,"61.5%","38.5%","78.9%","21.1%","0%",11.1,"Secundaria"
"Álamos","2600300012305","ONCE DE OCTUBRE",230,646,"48.5%","51.5%","38.2%","53.7%","8%",8.8,"Primaria"
"Álamos","2600300012351","FERROCARRIL",127,333,"46.1%","53.9%","39.3%","53.8%","6.9%",10.6,"Secundaria"
"Álamos","2600300016354","BICENTENARIO",80,229,"50.2%","49.8%","43.7%","50.2%","6.1%",9.6,"Secundaria"
"Álamos","2600300016390","LOMAS LINDAS",62,208,"46.2%","53.8%","44.2%","53.8%","1.9%",9.3,"Secundaria"
"Álamos","2600300016553","SONOCHIHUA",46,142,"47.9%","52.1%","22.5%","50%","27.5%",7.6,"Primaria"
"Álamos","2600300016613","CONSTITUCION",29,37,"63.6%","36.4%","59.5%","40.5%","0%",7.1,"Primaria"
"Álamos","2600300016644","LOS CANGREJOS",12,12,NA,NA,NA,NA,NA,NA,NA
"Álamos","260030001704","NUEVA ESMERALDA",407,1291,"51.3%","48.7%","32.6%","57.9%","9.5%",9.4,"Secundaria"
"Álamos","260030001722","LA ESTACION",52,168,"53.3%","46.7%","44.6%","53.6%","1.8%",9.4,"Secundaria"
"Álamos","260030001724","CHULA VISTA",36,109,"48.6%","51.4%","33%","54.1%","12.8%",9.1,"Secundaria"
"Álamos","260030001730","LA LADRILLERA",95,321,"52.7%","47.3%","28%","53.6%","18.4%",9.5,"Secundaria"
"Álamos","260030001731","EL BARRANCO",160,482,"49.3%","50.7%","31.7%","52.1%","16.2%",8.9,"Primaria"
"Álamos","260030001736","OLAS ALTAS",119,370,"53.8%","46.2%","32.7%","54.6%","12.7%",9.1,"Secundaria"
"Álamos","260030001738","LA CAMPANA",167,486,"51.4%","48.6%","30.2%","52.9%","16.9%",9.4,"Secundaria"
"Álamos","260030001739","LAS DELICIAS",24,49,"46.9%","53.1%","22.4%","63.3%","14.3%",8.3,"Primaria"
"Álamos","260030001740","HACIENDA VIEJA",33,133,"52.6%","47.4%","31.6%","58.6%","9.8%",8.3,"Primaria"
"Álamos","260030001742","EL RASTRO",25,86,"53.5%","46.5%","34.9%","52.3%","12.8%",10.5,"Secundaria"
"Álamos","260030001745","EL PERICO",40,80,"53.2%","46.8%","17.5%","52.5%","30%",10.2,"Secundaria"
"Álamos","260030001747","TACUBAYA",134,350,"47.4%","52.6%","30.3%","53.4%","16.3%",10.6,"Secundaria"
"Álamos","260030001750","LAS HIGUERAS",10,34,"47.1%","52.9%","35.3%","44.1%","20.6%",8.5,"Primaria"
"Álamos","260030001751","EL CHALATON",112,282,"54.9%","45.1%","35.1%","53.2%","11.7%",9.7,"Secundaria"
"Álamos","260030001753","EL CALVARIO",34,80,"49.3%","50.7%","35%","52.5%","12.5%",9.3,"Secundaria"
"Álamos","260030001756","LAS PALMAS",57,145,"51.8%","48.2%","29%","54.5%","16.6%",13.2,"Preparatoria"
"Álamos","260030001759","CHURUBUSCO",97,211,"47.7%","52.3%","28.9%","55.5%","15.6%",12.3,"Secundaria"
"Álamos","260030001760","CENTRO",203,300,"52.3%","47.7%","32%","36.7%","31.3%",11.2,"Secundaria"
"Álamos","260030001762","LOMA DE GUADALUPE",23,33,"43.3%","56.7%","33.3%","36.4%","30.3%",11,"Secundaria"
"Álamos","260030001763","EL VOLANTIN",118,267,"44.9%","55.1%","19.1%","51.7%","29.2%",10.7,"Secundaria"
"Álamos","260030001765","LA COLORADA",73,167,"53%","47%","18%","53.9%","28.1%",10.8,"Secundaria"
"Álamos","260030001780","LA CAPILLA",209,549,"49.9%","50.1%","29.3%","52.3%","18.4%",10.7,"Secundaria"
"Álamos","260030001782","EL MEZQUITAL",77,203,"54.8%","45.2%","31%","47.3%","21.7%",10,"Secundaria"
"Álamos","260030001801","LOS GUAYPARINES",288,699,"48.3%","51.7%","28.5%","53.1%","18.5%",9.8,"Secundaria"
"Álamos","260030001820","LA AVIACION",89,293,"52.9%","47.1%","31.1%","54.6%","14.3%",8.5,"Primaria"
"Álamos","260030001826","AURORA",77,197,"53.3%","46.7%","42.6%","45.7%","11.7%",7.8,"Primaria"
"Álamos","260030001831","NUEVO ALAMOS (INDEUR)",25,66,"48.5%","51.5%","19.7%","62.1%","18.2%",12.9,"Secundaria"
"Álamos","260030001832","REAL DE LOS ALAMOS",184,509,"52.4%","47.6%","31.8%","56.6%","11.6%",11,"Secundaria"
"Álamos","260030001837","MONTE",1,2,NA,NA,NA,NA,NA,NA,NA
"Altar","2600400011172","NIÑOS HEROES",62,159,"54.8%","45.2%","39%","61%","0%",10.1,"Secundaria"
"Altar","2600400011870","MAGISTERIAL",224,615,"47.2%","52.8%","47%","51.1%","2%",8.2,"Primaria"
"Altar","2600400012344","LAS PALMAS",18,40,"60%","40%","35%","52.5%","12.5%",10,"Secundaria"
"Altar","2600400012347","BELLA VISTA",137,375,"49.6%","50.4%","50.1%","48%","1.9%",8.3,"Primaria"
"Altar","2600400012348","PALO VERDE",42,91,"45%","55%","44%","50.5%","5.5%",8.8,"Primaria"
"Altar","2600400012349","LUIS DONALDO COLOSIO",18,41,"53.7%","46.3%","34.1%","65.9%","0%",10.4,"Secundaria"
"Altar","2600400012350","BENITO JUAREZ",337,1104,"48.9%","51.1%","39.7%","56.9%","3.4%",8.4,"Primaria"
"Altar","2600400016300","PUERTA DEL DESIERTO",8,22,"46.7%","53.3%","68.2%","31.8%","0%",9.1,"Secundaria"
"Altar","260040001966","CENTRO",140,344,"54.9%","45.1%","37.5%","51.7%","10.8%",9.4,"Secundaria"
"Altar","260040001967","VALLE DEL SOL",164,488,"49.7%","50.3%","38.1%","53.3%","8.6%",9.7,"Secundaria"
"Altar","260040001968","DE ABAJO",449,1095,"50.3%","49.7%","28.1%","54.7%","17.2%",9.7,"Secundaria"
"Altar","260040001969","DE ARRIBA",19,51,"55.1%","44.9%","33.3%","51%","15.7%",9.9,"Secundaria"
"Altar","260040001971","LAS LOMAS",503,1295,"51.1%","48.9%","33.8%","53%","13.2%",8.9,"Primaria"
"Altar","260040001972","BUENOS AIRES",632,1778,"51.2%","48.8%","39%","53.9%","7.1%",9,"Secundaria"
"Altar","260040001974","LA OTRA BANDA",353,918,"51.2%","48.8%","37.8%","54.9%","7.3%",8.1,"Primaria"
"Arivechi","260050001444","ARIVECHI",380,635,"50.2%","49.8%","37.5%","44.6%","18%",9,"Secundaria"
"Arizpe","2600600012161","NUEVO ARIZPE",35,83,"45.5%","54.5%","73.5%","19.3%","7.2%",8.7,"Primaria"
"Arizpe","2600600012162","EL AGUAJITO",54,104,"51.2%","48.8%","50%","50%","0%",9.5,"Secundaria"
"Arizpe","2600600012163","LA LOMA",111,203,"50.9%","49.1%","38.4%","43.8%","17.7%",8.5,"Primaria"
"Arizpe","260060001581","EL ALAMITO",147,306,"51.6%","48.4%","32.4%","53.3%","14.4%",8.6,"Primaria"
"Arizpe","260060001582","CENTRO",229,326,"53.3%","46.7%","48.5%","35.6%","16%",10,"Secundaria"
"Arizpe","260060001583","TECOLOTE",167,427,"45%","55%","34.2%","52.9%","12.9%",8,"Primaria"
"Arizpe","260060001584","PUEBLITO DE URES",60,142,"50.9%","49.1%","47.9%","40.1%","12%",7.6,"Primaria"
"Arizpe","2600600016478","MESA DEL CAME",27,67,"44.4%","55.6%","79.1%","20.9%","0%",11.2,"Secundaria"
"Atil","260070001978","CENTRO",283,606,"49.8%","50.2%","30.9%","49.8%","19.3%",9.1,"Secundaria"
"Bacadéhuachi","260080001383","SAN LUIS",91,183,"47.1%","52.9%","44.8%","43.7%","11.5%",7.4,"Primaria"
"Bacadéhuachi","260080001384","SAN MARTIN",59,87,"50.8%","49.2%","57.5%","39.1%","3.4%",8.8,"Primaria"
"Bacadéhuachi","260080001385","CENTRO",118,198,"50.6%","49.4%","28.8%","42.9%","28.3%",9,"Secundaria"
"Bacadéhuachi","260080001386","SAN JUAN",167,300,"45.1%","54.9%","25.7%","44.7%","29.7%",7.2,"Primaria"
"Bacadéhuachi","260080001387","SAN MARCOS",101,211,"41.8%","58.2%","37.9%","42.2%","19.9%",6.5,"Primaria"
"Bacanora","260090001442","BACANORA",290,498,"49.2%","50.8%","41.4%","40.4%","18.3%",7.6,"Primaria"
"Bacerac","2601000012204","LOMA LINDA",77,149,"50%","50%","78.5%","19.5%","2%",8.9,"Primaria"
"Bacerac","260100001376","CENTRO",222,439,"51.2%","48.8%","39.4%","47.2%","13.4%",8.2,"Primaria"
"Bacerac","260100001377","LOS PINOS",68,97,"52.1%","47.9%","48.5%","39.2%","12.4%",8.3,"Primaria"
"Bacerac","260100001378","AISLADO",35,79,"52.9%","47.1%","31.6%","57%","11.4%",8.4,"Primaria"
"Bacerac","260100001379","GUADALUPE",108,254,"50%","50%","42.9%","50.4%","6.7%",8.6,"Primaria"
"Bacoachi","2601100012180","CLUB DE LEONES",45,112,"51%","49%","52.7%","47.3%","0%",9.1,"Secundaria"
"Bacoachi","2601100012181","5 DE MAYO",40,69,"54.5%","45.5%","31.9%","39.1%","29%",7.9,"Primaria"
"Bacoachi","2601100012182","IGNACIO TATO",8,11,"54.5%","45.5%","18.2%","45.5%","36.4%",8.2,"Primaria"
"Bacoachi","2601100012183","CEMENTERIO VIEJO",45,77,"43.3%","56.7%","32.5%","50.6%","16.9%",7.5,"Primaria"
"Bacoachi","2601100012184","FRANCIA",64,118,"47.6%","52.4%","27.1%","53.4%","19.5%",8.3,"Primaria"
"Bacoachi","2601100012185","EL ESTADIO",89,217,"48.2%","51.8%","40.1%","44.2%","15.7%",8.1,"Primaria"
"Bacoachi","2601100012186","EL TASTE",108,181,"53.1%","46.9%","44.2%","44.2%","11.6%",8.6,"Primaria"
"Bacoachi","2601100012187","LA JANOTA",15,34,"50%","50%","58.8%","32.4%","8.8%",6.9,"Primaria"
"Bacoachi","2601100012188","EL MIRADOR",34,53,"69.2%","30.8%","62.3%","24.5%","13.2%",8.9,"Primaria"
"Bacoachi","260110001367","CENTRO",72,122,"52.7%","47.3%","41%","36.1%","23%",8.7,"Primaria"
"Bacoachi","260110001368","LOS PINOS",22,42,"50%","50%","47.6%","31%","21.4%",6.8,"Primaria"
"Bácum","2601200011109","CENTRO",1048,2899,"51.2%","48.8%","29.6%","52.5%","17.9%",9.2,"Secundaria"
"Bácum","2601200011324","GARDENIAS",83,258,"49.4%","50.6%","36.8%","60.9%","2.3%",8.8,"Primaria"
"Bácum","2601200011960","TU CASA",58,168,"51.8%","48.2%","40.5%","57.7%","1.8%",9.6,"Secundaria"
"Bácum","260120001436","NUEVA CREACION",183,510,"50.4%","49.6%","35.3%","51.8%","12.9%",8.6,"Primaria"
"Bácum","2601200016227","VIVAH",92,239,"53.6%","46.4%","36.8%","57.3%","5.9%",9.7,"Secundaria"
"Bácum","2601200016256","MISION SANTA ROSA",79,246,"52.8%","47.2%","39%","57.7%","3.3%",9.8,"Secundaria"
"Francisco Javier Mina (Campo 60)","2601200821081","DIANA LAURA RIOJAS",45,138,"53.7%","46.3%","39.9%","57.2%","2.9%",8.5,"Primaria"
"Francisco Javier Mina (Campo 60)","2601200821291","VIVAH",158,541,"51.4%","48.6%","38.8%","58.6%","2.6%",9.9,"Secundaria"
"Francisco Javier Mina (Campo 60)","260120082423","FELIX B GARCIA",639,2312,"49.9%","50.1%","29.1%","54%","16.9%",9,"Secundaria"
"Francisco Javier Mina (Campo 60)","260120082424","CENTRO",481,1491,"50%","50%","38.6%","50.8%","10.6%",9.2,"Secundaria"
"Francisco Javier Mina (Campo 60)","260120082425","PUEBLO NUEVO",91,278,"46.2%","53.8%","59.7%","37.8%","2.5%",8.9,"Primaria"
"Francisco Javier Mina (Campo 60)","260120082426","AMPLIACION PUEBLO NUEVO",145,448,"47.5%","52.5%","49.3%","44.6%","6%",7.9,"Primaria"
"Francisco Javier Mina (Campo 60)","260120082427","LUIS DONALDO COLOSIO",212,662,"49.7%","50.3%","36.4%","58.6%","5%",8.7,"Primaria"
"Francisco Javier Mina (Campo 60)","260120082428","LOMA BLANCA",149,466,"49.7%","50.3%","34.5%","53.2%","12.2%",7.9,"Primaria"
"San José de Bácum","2601200931079","VIVAH",173,568,"46.8%","53.2%","36.1%","53.7%","10.2%",9.9,"Secundaria"
